,horizon,mse,rmse,mae,mape,mdape,smape,coverage
104,122 days,742.6401893424088,27.251425455238277,17.67127098443635,0.2563407927023577,0.1600019061766374,0.29222266087120524,0.4577777777777778
105,123 days,748.9125995768734,27.366267549245247,17.826491346075443,0.25863492104062963,0.16158745995927434,0.2941915194289148,0.44666666666666666
106,124 days,758.5109617742096,27.541077716280633,18.01869995783932,0.26163791065309455,0.16444204617110927,0.2968918919931087,0.43777777777777777
107,125 days,768.1202505495426,27.714982420155756,18.20583074622973,0.26455728753116886,0.16537611709036468,0.2993418889074096,0.4288888888888889
108,126 days,777.7609305109409,27.888365504470514,18.393171616131667,0.2676832757947176,0.1659464457257515,0.3019201806447885,0.4222222222222222
109,127 days,784.6401347318567,28.011428644963054,18.560832517485725,0.27088304912109884,0.16927066269709906,0.3044864821666897,0.41555555555555557
110,128 days,792.9357088221986,28.159114134187508,18.734485578448904,0.27409895507593246,0.17321003142442495,0.3070628143090619,0.4111111111111111
111,129 days,801.1942407894699,28.305374768574783,18.936201948583374,0.2782042393483941,0.18018442738841095,0.3102835992507146,0.4022222222222222
112,130 days,807.05608329237,28.40873251823055,19.08318489102098,0.2808923239216476,0.18122841753770186,0.3124958547889342,0.39555555555555555
113,131 days,814.1332359685637,28.533020098975918,19.236724231890868,0.2840426858654536,0.18562489116186115,0.314925390983826,0.39111111111111113
114,132 days,821.4973139201013,28.661774437743755,19.406251144124873,0.28786284487141744,0.1911615366513058,0.3176774715737812,0.38666666666666666
115,133 days,830.9606374015732,28.82638786600869,19.594973510588293,0.29204828412622685,0.19254422365825896,0.3206746171503302,0.38
116,134 days,840.5408250580834,28.99208210974306,19.777639090253462,0.2963420457167903,0.19511245807703248,0.32369648762442166,0.37333333333333335
117,135 days,853.7571555002136,29.219123113129413,20.019566721219576,0.3012441826910282,0.19986586308479137,0.32733967562322014,0.36444444444444446
118,136 days,864.2531294514127,29.398182417479703,20.220554314066437,0.30619082555728205,0.20605975856529554,0.33068422892907845,0.36
119,137 days,873.1942904193511,29.549861089679442,20.38813300968539,0.3095091834513085,0.21196020032900853,0.33323223924903767,0.35333333333333333
120,138 days,883.4705711147924,29.72323285100045,20.575721054380253,0.3135832508541498,0.2149987878161907,0.3361910331883644,0.3466666666666667
121,139 days,894.6001053106929,29.909866353942355,20.77069739647354,0.31897230643513136,0.21643197550800314,0.3396413102647295,0.34444444444444444
122,140 days,903.6315440163029,30.060464800403583,20.922098609090085,0.3236172683720152,0.21891868303799417,0.3423481283866937,0.3466666666666667
123,141 days,912.7911219359275,30.21243323428167,21.049811979257687,0.3272762332837916,0.22031846474555755,0.34447720285344996,0.3488888888888889
124,142 days,918.6589806400976,30.309387665211872,21.138288161475952,0.33017645541374546,0.2234020279388573,0.34601029849497894,0.3466666666666667
125,143 days,925.9704772840827,30.429763017218566,21.240615157566083,0.33374011525993197,0.23096464388332189,0.34809529255111765,0.3466666666666667
